ts,endpoint,run,ok,tcp_connect_ms,tls_handshake_ms,tls_version,cipher,alpn,cert_cn,error
2026-06-05T13:01:17.661384+00:00,italynorth.tts.speech.microsoft.com,2,True,18.086,18.086,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-05T13:01:18.235051+00:00,italynorth.tts.speech.microsoft.com,3,True,19.2,19.2,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-05T13:01:18.773977+00:00,italynorth.tts.speech.microsoft.com,4,True,20.115,20.115,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-06T13:01:01.085284+00:00,api.deepgram.com,0,True,144.905,147.07,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-06T13:01:01.645785+00:00,api.deepgram.com,1,True,138.886,145.668,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-06T13:01:02.103265+00:00,api.deepgram.com,2,True,141.155,142.521,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-06T13:01:02.673770+00:00,api.deepgram.com,3,True,144.736,148.415,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-06T13:01:03.269529+00:00,api.deepgram.com,4,True,143.26,143.528,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-06T13:01:03.782583+00:00,api.rev.ai,0,True,153.307,299.034,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-06T13:01:04.242257+00:00,api.rev.ai,1,True,143.881,293.696,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-06T13:01:04.829434+00:00,api.rev.ai,2,True,157.373,290.522,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
